,0,1,2
0,Pat McCrory,"""The city of Charlotte passed a bathroom ordinance mandate on every private-sector employer in Charlotte.""",Mostly False
1,Hillary Clinton,"In nine Democratic debates, ""We've not had one question about a woman's right to make her own decisions about reproductive health care, not one question.""",True
2,Hillary Clinton,"The Republicans ""still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.""",Mostly False
3,Bernie Sanders,"""When this campaign began, I said that weve got to end the starvation minimum wage of $7.25, raise it to $15. Secretary Clinton said let's raise it to $12.""",Mostly True
4,Hillary Clinton,"Says Bernie Sanders ""has been largely a very reliable supporter of the NRA.""",Mostly False
5,Bernie Sanders,"""I remain one of the poorer members of the United States Senate.""",Mostly True
6,Hillary Clinton,"""We have tougher standards holding toy gun manufacturers and sellers to account than we do for real guns.""",Half-True
7,Jeff Bridges,"""Every bit of plastic that has ever been created still exists.""",False
8,Donald Trump,"""My numbers are better right now than Ronald Reagan's numbers were with Jimmy Carter.""",False
9,Bernie Sanders,"Says Hillary Clinton supported and continues to ""support fracking.""",Mostly True
10,Hillary Clinton,"""The state that has the highest per capita number of  guns that end up committing crimes in New York come from Vermont.""",Half-True
11,Ted Cruz,"""Poll after poll after poll shows me beating Hillary.""",Mostly False
12,Tom Price,"Says the Congressional Budget Office ""is expecting a protracted economic malaise for at least the next decade under current policies.""",Half-True
13,Bernie Sanders,"""The largest U.S. companies would owe $620 billion in U.S. taxes on the cash they store in tax havens.""",Mostly True
14,Bernie Sanders,"Says Hillary Clinton voted ""for virtually every trade agreement that has cost the workers of this country millions of jobs.""",Half-True
15,Hillary Clinton,"Says Bernie Sanders ""wants higher standards for toy guns than real guns.""",Half-True
16,Bernie Sanders,"Says Hillary Clinton ""has been saying lately that she thinks that I am, 'not qualifiedto be president.'""",Mostly False
17, New Day for America,"""Many just call him 'Lyin' Ted.' ... HisTV ad about John Kasich? Lie! Stations had to pull it off the air.""",False
18,Bernie Sanders,Says his campaign has released his past tax returns.,False
19,Hillary Clinton,"""I have 2 and a half million more votes than he (Sanders) does.""",Mostly True
20,Barack Obama,"The ""rate of uninsured Americans (is) 8.8 percent.""",Half-True
21,Donald Trump,"China is ""in the South China Sea and (building)a military fortress the likes of which perhaps the world has not seen.""",Half-True
22,Donald Trump,"""Weve rebuilt China.""",Half-True
23,Bernie Sanders,"Says his free public university tuition program ""is paid for  by a tax on Wall Street's speculation.""",Mostly False
24,Hillary Clinton,"""I have now put out all of my emails.""",Half-True
25,Hillary Clinton,"""I'm the only candidate in the Democratic primary, or actually on either side, who Wall Street financiers and hedge fund managers are actually running ads against.""",Pants on Fire!
26,Donald Trump,SaysTed Cruz distributed the ad showing a nude Melania Trump on a rug.,False
27,Donald Trump,"Says that when Michelle Fields ""found out that there was a security camera, and that they had her on tape, all of a sudden that story changed.""",Pants on Fire!
28,Donald Trump,"""Theres a tremendous tax that we pay when we (American businesses) go into China, whereas when China sells to us theres no tax.""",Mostly False
29,Hillary Clinton,"When it comes to fighting terrorism, ""Another thing we know that does not work, based on lots of empirical evidence, is torture.""",True
30,Hillary Clinton,"""Its actually easier for the United States to get flight manifests from E.U. nations than it is for E.U. nations to get them from their own neighbors, thanks to an agreement the U.S. negotiated when I was secretary of state.""",Mostly True
31,Bernie Sanders,"""Bernie Sanders passed more roll call amendments in a Republican Congress than any other member.""",True
32,Paul Ryan,"""To this day, (the Cuban government) is a regime that provides safe harbor to terrorists and fugitives.""",Mostly True
33,Donald Trump,"""When those restrictions expire (in the Iran nuclear deal), Iran will have an industrial-size military nuclear capability ready to go.""",False
34,Ted Cruz,"""Ukraine voluntarily gave up its nuclear weapons because the United States of America"" said it would ""ensure (its) territorial integrity from Russia.""",False
35,Donald Trump,"""During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.""",Half-True
36,Mitch McConnell,"SaysSenate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""",False
